ticker,weight,ISIN,total_score,govern_score,social_score,environ_score,industry,company
ES,0.000785,US30040W1080,74.83,77.39,74.13,73.88,Power,Eversource Energy (NYSE:ES)
ESRX,0.002156,US30219G1085,53.48,66.28,40.82,60.92,,
ESS,0.000653,US2971781057,51.78,50.35,42.74,59.64,R.E.I.T.,"Essex Property Trust, Inc. (NYSE:ESS)"
ETFC,0.000554,US2692464017,49.78,52.64,60.26,34.98,Brokerage & Investment Banking,E*TRADE Financial Corporation (NasdaqGS:ETFC)
ETN,0.001542,IE00B8KQN827,74.2,68.43,78.87,73.72,Electrical Equipment,Eaton Corporation plc (NYSE:ETN)
ETR,0.000588,US29364G1031,65.64,75.59,72.51,55.54,Power,Entergy Corporation (NYSE:ETR)
EVHC,0.00022400000000000002,US29414D1000,47.63,55.95,41.22,49.2,,
EVRG,0.000602,US30034W1062,,,,,Power,"Evergy, Inc. (NYSE:EVRG)"
EW,0.001451,US28176E1082,68.04,56.08,65.54,86.9,Healthcare Products,Edwards Lifesciences Corporation (NYSE:EW)
EXC,0.0016879999999999998,US30161N1019,70.25,75.55,65.58,70.41,Power,Exelon Corporation (NasdaqGS:EXC)
EXPD,0.000522,US3021301094,56.52,62.45,51.06,58.53,Transportation,"Expeditors International of Washington, Inc. (NasdaqGS:EXPD)"
EXPE,0.000641,US30212P3038,42.75,47.6,43.25,38.71,Retail (Online),"Expedia Group, Inc. (NasdaqGS:EXPE)"
EXR,0.000434,US30225T1025,42.1,49.29,37.53,40.13,R.E.I.T.,Extra Space Storage Inc. (NYSE:EXR)
F,0.00147,US3453708600,61.09,60.78,74.39,52.4,Auto & Truck,Ford Motor Company (NYSE:F)
FAST,0.000672,US3119001044,55.01,60.89,47.22,59.72,Retail (Distributors),Fastenal Company (NasdaqGS:FAST)
FB,0.015871,US30303M1027,51.93,39.55,58.87,51.83,Software (Entertainment),"Facebook, Inc. (NasdaqGS:FB)"
FBHS,0.000314,US34964C1062,48.65,58.0,47.46,43.85,Building Materials,"Fortune Brands Home & Security, Inc. (NYSE:FBHS)"
FCX,0.000805,US35671D8570,64.92,80.52,71.06,46.76,Metals & Mining,Freeport-McMoRan Inc. (NYSE:FCX)
FDX,0.0023769999999999998,US31428X1063,63.62,61.15,61.48,67.83,Transportation,FedEx Corporation (NYSE:FDX)
FE,0.000729,US3379321074,59.61,73.08,59.35,52.31,Power,FirstEnergy Corp. (NYSE:FE)
FFIV,0.00047000000000000004,US3156161024,49.59,57.2,51.54,43.12,Telecom. Equipment,"F5 Networks, Inc. (NasdaqGS:FFIV)"
FIS,0.0014320000000000001,US31620M1062,47.41,61.49,42.65,42.83,Information Services,"Fidelity National Information Services, Inc. (NYSE:FIS)"
FISV,0.0013449999999999998,US3377381088,46.64,55.79,42.09,45.83,Information Services,"Fiserv, Inc. (NasdaqGS:FISV)"
FITB,0.00075,US3167731005,52.17,50.93,57.87,47.67,Banks (Regional),Fifth Third Bancorp (NasdaqGS:FITB)
FL,0.00024900000000000004,US3448491049,48.59,61.79,49.6,38.0,Retail (Special Lines),"Foot Locker, Inc. (NYSE:FL)"
FLIR,0.00033999999999999997,US3024451011,52.74,53.45,59.68,46.22,Electronics (General),"FLIR Systems, Inc. (NasdaqGS:FLIR)"
FLR,0.000332,US3434121022,61.12,73.23,57.29,54.11,Engineering/Construction,Fluor Corporation (NYSE:FLR)
FLS,0.00028700000000000004,US34354P1057,60.63,60.05,57.08,64.09,Machinery,Flowserve Corporation (NYSE:FLS)
FLT,0.000816,US3390411052,46.32,58.68,42.33,42.0,Information Services,"FleetCor Technologies, Inc. (NYSE:FLT)"
FMC,0.00047300000000000006,US3024913036,66.94,74.45,65.97,63.1,Chemical (Specialty),FMC Corporation (NYSE:FMC)
FOX,0.0009050000000000001,US90130A2006,,,,,,
FOXA,0.001962,US90130A1016,50.69,53.98,45.13,58.53,Broadcasting,Fox Corporation (NasdaqGS:FOXA)
FRT,0.00036899999999999997,US3137472060,53.76,51.31,45.65,61.68,R.E.I.T.,Federal Realty Investment Trust (NYSE:FRT)
FTI,0.000546,GB00BDSFG982,80.31,73.9,81.46,83.31,Oilfield Svcs/Equip.,TechnipFMC plc (NYSE:FTI)
FTV.WD,0.0010429999999999999,US34959J1088,51.72,62.3,45.8,50.28,,
GD,0.0023190000000000003,US3695501086,52.46,58.5,44.88,54.87,Aerospace/Defense,General Dynamics Corporation (NYSE:GD)
GE,0.004257,US3696041033,63.72,58.88,63.23,67.17,Diversified,General Electric Company (NYSE:GE)
GILD,0.004097,US3755581036,61.06,54.82,60.48,69.58,Drugs (Biotechnology),"Gilead Sciences, Inc. (NasdaqGS:GILD)"
GIS,0.001019,US3703341046,70.9,67.63,66.7,78.03,Food Processing,"General Mills, Inc. (NYSE:GIS)"
GLW,0.001157,US2193501051,60.89,60.62,56.22,65.14,Electronics (General),Corning Incorporated (NYSE:GLW)
GM,0.001818,US37045V1008,63.18,71.78,66.79,55.99,Auto & Truck,General Motors Company (NYSE:GM)
GOOG,0.014911,US02079K1079,,,,,,
GOOGL,0.014634999999999999,US02079K3059,63.05,44.19,65.22,75.5,,
GPC,0.000585,US3724601055,46.7,64.8,42.37,38.71,Retail (Distributors),Genuine Parts Company (NYSE:GPC)
GPN,0.000813,US37940X1028,45.07,58.2,39.81,42.0,Information Services,Global Payments Inc. (NYSE:GPN)
GPS,0.000254,US3647601083,68.05,72.29,67.98,65.1,Retail (Special Lines),"The Gap, Inc. (NYSE:GPS)"
GRMN,0.000342,CH0114405324,59.79,56.24,59.07,63.14,Electronics (Consumer & Office),Garmin Ltd. (NasdaqGS:GRMN)
GS,0.0032049999999999995,US38141G1040,68.79,62.0,59.62,87.17,Brokerage & Investment Banking,"The Goldman Sachs Group, Inc. (NYSE:GS)"
GT,0.00023700000000000001,US3825501014,65.04,60.29,58.38,76.03,Rubber& Tires,The Goodyear Tire & Rubber Company (NasdaqGS:GT)
GTXw,5.5e-05,US3665051054,,,,,,
GWW,0.000655,US3848021040,71.09,66.33,68.0,78.03,Retail (Distributors),"W.W. Grainger, Inc. (NYSE:GWW)"
HAL,0.001463,US4062161017,60.17,65.98,60.17,56.54,Oilfield Svcs/Equip.,Halliburton Company (NYSE:HAL)
HAS,0.0005,US4180561072,64.65,61.15,66.59,64.94,Recreation,"Hasbro, Inc. (NasdaqGS:HAS)"
HBAN,0.00066,US4461501045,53.38,55.23,60.67,43.25,Banks (Regional),Huntington Bancshares Incorporated (NasdaqGS:HBAN)
HBI,0.000268,US4103451021,60.18,62.36,58.38,60.69,Apparel,Hanesbrands Inc. (NYSE:HBI)
HCA,0.001534,US40412C1018,55.44,65.79,43.95,63.7,Hospitals/Healthcare Facilities,"HCA Healthcare, Inc. (NYSE:HCA)"
HCP,0.000488,US40414L1098,62.89,61.17,59.37,66.82,,
HD,0.009622,US4370761029,68.48,69.48,54.65,83.59,Retail (Building Supply),"The Home Depot, Inc. (NYSE:HD)"
HES,0.0007599999999999999,US42809H1077,76.41,68.97,85.8,70.99,Oil/Gas (Production and Exploration),Hess Corporation (NYSE:HES)
HFC,0.00045599999999999997,US4361061082,63.62,73.59,67.61,51.94,Oilfield Svcs/Equip.,HollyFrontier Corporation (NYSE:HFC)
HIG,0.000713,US4165151048,68.36,68.28,67.22,69.67,Insurance (General),"The Hartford Financial Services Group, Inc. (NYSE:HIG)"
HII,0.00046699999999999997,US4464131063,50.52,58.92,50.19,43.66,Aerospace/Defense,"Huntington Ingalls Industries, Inc. (NYSE:HII)"
HLT,0.0009480000000000001,US43300A2033,66.0,65.69,59.56,71.84,Hotel/Gaming,Hilton Worldwide Holdings Inc. (NYSE:HLT)
HOG,0.000321,US4128221086,54.57,69.59,57.1,44.54,Auto & Truck,"Harley-Davidson, Inc. (NYSE:HOG)"
HOLX,0.000459,US4364401012,51.15,52.08,46.51,58.4,Healthcare Products,"Hologic, Inc. (NasdaqGS:HOLX)"
HON,0.0050219999999999996,US4385161066,52.45,55.65,51.64,51.15,Diversified,Honeywell International Inc. (NYSE:HON)
HP,0.000307,US4234521015,53.09,59.05,47.46,54.29,Oil/Gas (Production and Exploration),"Helmerich & Payne, Inc. (NYSE:HP)"
HPE,0.000964,US42824C1099,78.5,72.25,83.76,77.81,Computers/Peripherals,Hewlett Packard Enterprise Company (NYSE:HPE)
HPQ,0.001641,US40434L1052,86.25,71.59,83.7,97.64,Computers/Peripherals,HP Inc. (NYSE:HPQ)
HRB,0.000215,US0936711052,48.77,66.79,49.93,36.5,Business & Consumer Services,"H&R Block, Inc. (NYSE:HRB)"
HRL,0.00042800000000000005,US4404521001,60.25,64.48,51.49,67.24,Food Processing,Hormel Foods Corporation (NYSE:HRL)
HRS,0.000805,US4138751056,51.0,59.69,52.8,43.99,,
HSIC,0.000549,US8064071025,59.41,64.92,57.74,55.8,Healthcare Support Services,"Henry Schein, Inc. (NasdaqGS:HSIC)"
HST,0.0006259999999999999,US44107P1049,71.88,72.13,63.12,78.26,R.E.I.T.,"Host Hotels & Resorts, Inc. (NYSE:HST)"
HSY,0.00057,US4278661081,67.47,69.78,59.04,75.46,Food Processing,The Hershey Company (NYSE:HSY)
HUM,0.001877,US4448591028,58.71,62.27,48.23,73.28,Healthcare Support Services,Humana Inc. (NYSE:HUM)
IBM,0.005661,US4592001014,74.47,59.85,74.05,87.27,Computer Services,International Business Machines Corporation (NYSE:IBM)
ICE,0.001748,US45866F1049,53.97,55.5,53.45,52.61,Financial Svcs. (Non-bank & Insurance),"Intercontinental Exchange, Inc. (NYSE:ICE)"
IDXX,0.000872,US45168D1046,51.22,54.0,46.76,55.9,Healthcare Products,"IDEXX Laboratories, Inc. (NasdaqGS:IDXX)"
IFF,0.000515,US4595061015,74.05,71.0,69.49,79.94,Chemical (Specialty),International Flavors & Fragrances Inc. (NYSE:IFF)
ILMN,0.002171,US4523271090,60.1,54.73,61.4,64.19,Heathcare Information and Technology,"Illumina, Inc. (NasdaqGS:ILMN)"
INCY,0.000488,US45337C1027,48.46,64.52,36.22,51.21,Drugs (Biotechnology),Incyte Corporation (NasdaqGS:INCY)
INFO,0.000785,BMG475671050,63.07,59.3,59.55,68.5,Business & Consumer Services,IHS Markit Ltd. (NYSE:INFO)
INTC,0.008676,US4581401001,86.02,78.78,90.35,86.76,Semiconductor,Intel Corporation (NasdaqGS:INTC)
INTU,0.002388,US4612021034,66.19,67.59,61.32,72.33,Software (System & Application),Intuit Inc. (NasdaqGS:INTU)
IP,0.000834,US4601461035,63.91,75.03,58.84,61.39,Packaging & Container,International Paper Company (NYSE:IP)
IPG,0.000362,US4606901001,59.63,72.1,55.06,56.3,Advertising,"The Interpublic Group of Companies, Inc. (NYSE:IPG)"
IPGP,0.00023799999999999998,US44980X1090,45.13,57.2,46.66,36.25,Electronics (General),IPG Photonics Corporation (NasdaqGS:IPGP)
IQV,0.000848,US46266C1053,48.63,54.22,40.63,56.34,Heathcare Information and Technology,IQVIA Holdings Inc. (NYSE:IQV)
IR,0.001026,IE00B6330302,71.6,69.15,75.15,70.04,Machinery,Ingersoll-Rand Plc (NYSE:IR)
IRM,0.000388,US46284V1017,64.18,71.88,52.61,69.5,R.E.I.T.,Iron Mountain Incorporated (NYSE:IRM)
ISRG,0.002648,US46120E6023,46.91,52.03,40.9,51.6,Healthcare Products,"Intuitive Surgical, Inc. (NasdaqGS:ISRG)"
IT,0.000579,US3666511072,46.59,67.9,41.36,36.67,Computer Services,"Gartner, Inc. (NYSE:IT)"
ITW,0.001789,US4523081093,70.1,65.4,66.14,76.49,Machinery,Illinois Tool Works Inc. (NYSE:ITW)
IVZ,0.000381,BMG491BT1088,65.03,73.62,51.44,68.67,Investments & Asset Management,Invesco Ltd. (NYSE:IVZ)
JBHT,0.00042300000000000004,US4456581077,45.69,55.25,42.21,42.84,Trucking,"J.B. Hunt Transport Services, Inc. (NasdaqGS:JBHT)"
JCI,0.0013109999999999999,IE00BY7QL619,73.3,68.28,86.05,65.28,Building Materials,Johnson Controls International plc (NYSE:JCI)
JEC,0.000371,US4698141078,51.98,61.42,43.5,53.87,,
JEF,0.000268,US47233W1099,47.84,50.91,52.3,39.18,Diversified,Jefferies Financial Group Inc. (NYSE:JEF)
JNJ,0.015182,US4781601046,70.39,70.02,60.77,88.17,Drugs (Pharmaceutical),Johnson & Johnson (NYSE:JNJ)
JNPR,0.000421,US48203R1041,62.34,58.09,55.76,70.76,Telecom. Equipment,"Juniper Networks, Inc. (NYSE:JNPR)"
JPM,0.015452,US46625H1005,71.44,61.97,68.1,87.0,Bank (Money Center),JPMorgan Chase & Co. (NYSE:JPM)
JWN,0.00028700000000000004,US6556641008,63.12,60.48,57.43,71.5,Retail (General),"Nordstrom, Inc. (NYSE:JWN)"
K,0.000717,US4878361082,64.9,70.92,51.15,76.29,Food Processing,Kellogg Company (NYSE:K)
KEY,0.0008460000000000001,US4932671088,62.73,59.23,69.21,60.25,Banks (Regional),KeyCorp (NYSE:KEY)
KHC,0.0014,US5007541064,55.97,70.36,46.14,56.93,Food Processing,The Kraft Heinz Company (NasdaqGS:KHC)
KIM,0.000279,US49446R1095,59.65,66.16,49.75,62.21,R.E.I.T.,Kimco Realty Corporation (NYSE:KIM)
KLAC,0.000629,US4824801009,68.29,68.15,64.31,71.86,Semiconductor Equip,KLA Corporation (NasdaqGS:KLAC)
KMB,0.0016120000000000002,US4943681035,76.07,80.79,70.32,79.28,Household Products,Kimberly-Clark Corporation (NYSE:KMB)
KMI,0.001389,US49456B1017,56.89,62.22,59.81,49.75,Oil/Gas Distribution,"Kinder Morgan, Inc. (NYSE:KMI)"
KMX,0.000529,US1431301027,47.85,59.65,44.03,43.79,Retail (Automotive),"CarMax, Inc. (NYSE:KMX)"
KO,0.007169,US1912161007,59.06,60.05,55.51,62.42,Beverage (Soft),The Coca-Cola Company (NYSE:KO)
KORS,0.000413,VGG607541015,46.57,55.88,49.09,37.03,,
KR,0.000942,US5010441013,64.57,74.92,55.1,68.01,Retail (Grocery and Food),The Kroger Co. (NYSE:KR)
KSS,0.000515,US5002551043,63.2,71.59,56.01,65.43,Retail (General),Kohl's Corporation (NYSE:KSS)
KSU,0.0004969999999999999,US4851703029,52.25,64.78,53.36,42.04,Transportation (Railroads),Kansas City Southern (NYSE:KSU)
L,0.000566,US5404241086,44.54,44.57,50.72,37.92,Insurance (Prop/Cas.),Loews Corporation (NYSE:L)
LB,0.00028,US5017971046,62.74,74.55,60.08,57.36,Retail (Special Lines),"L Brands, Inc. (NYSE:LB)"
LEG,0.00023199999999999997,US5246601075,49.75,58.5,47.89,45.9,Furn/Home Furnishings,"Leggett & Platt, Incorporated (NYSE:LEG)"
LEN,0.000558,US5260571048,48.06,56.65,43.87,46.71,Homebuilding,Lennar Corporation (NYSE:LEN)
LH,0.000715,US50540R4092,50.3,53.86,47.2,51.6,Healthcare Support Services,Laboratory Corporation of America Holdings (NYSE:LH)
LKQ,0.000408,US5018892084,46.57,55.88,43.49,43.43,Retail (Distributors),LKQ Corporation (NasdaqGS:LKQ)
LLL,0.000672,US5024131071,51.34,53.58,49.56,51.19,,
LLY,0.0041670000000000006,US5324571083,57.53,58.93,51.24,67.19,Drugs (Pharmaceutical),Eli Lilly and Company (NYSE:LLY)
LMT,0.003482,US5398301094,63.47,66.0,55.05,69.71,Aerospace/Defense,Lockheed Martin Corporation (NYSE:LMT)
LNC,0.000596,US5341871094,59.61,63.35,53.3,61.58,Insurance (Life),Lincoln National Corporation (NYSE:LNC)
LNT,0.000395,US0188021085,57.41,73.25,60.42,46.6,Power,Alliant Energy Corporation (NasdaqGS:LNT)
LOW,0.003747,US5486611073,60.42,69.62,54.93,60.13,Retail (Building Supply),"Lowe's Companies, Inc. (NYSE:LOW)"
LRCX,0.000959,US5128071082,69.6,66.65,62.86,77.32,Semiconductor Equip,Lam Research Corporation (NasdaqGS:LRCX)
LUV,0.001289,US8447411088,57.71,65.59,52.58,57.96,Air Transport,Southwest Airlines Co. (NYSE:LUV)
LYB,0.0013460000000000002,NL0009434992,62.19,64.81,63.8,59.15,Chemical (Basic),LyondellBasell Industries N.V. (NYSE:LYB)
M,0.00042800000000000005,US55616P1049,64.53,65.99,61.64,66.79,Retail (General),"Macy's, Inc. (NYSE:M)"
MA,0.008267,US57636Q1040,62.29,70.25,56.28,64.67,Information Services,Mastercard Incorporated (NYSE:MA)
MAA,0.00045599999999999997,US59522J1034,47.38,52.22,41.37,48.25,R.E.I.T.,"Mid-America Apartment Communities, Inc. (NYSE:MAA)"
MAC,0.000236,US5543821012,58.24,48.73,42.01,77.57,R.E.I.T.,The Macerich Company (NYSE:MAC)
MAR,0.001497,US5719032022,59.67,64.89,55.61,59.96,Hotel/Gaming,"Marriott International, Inc. (NasdaqGS:MAR)"
MAS,0.000463,US5745991068,61.99,66.48,60.71,60.31,Building Materials,Masco Corporation (NYSE:MAS)
MAT,0.000221,US5770811025,58.44,63.48,52.89,61.19,Recreation,"Mattel, Inc. (NasdaqGS:MAT)"
MCD,0.0052380000000000005,US5801351017,57.68,53.79,55.69,61.86,Restaurant/Dining,McDonald's Corporation (NYSE:MCD)
MCHP,0.000731,US5950171042,59.89,62.05,61.4,57.23,Semiconductor,Microchip Technology Incorporated (NasdaqGS:MCHP)
MCK,0.001077,US58155Q1031,57.12,71.86,43.64,63.7,Healthcare Support Services,McKesson Corporation (NYSE:MCK)
MCO,0.00114,US6153691059,59.62,55.64,60.17,64.06,Financial Svcs. (Non-bank & Insurance),Moody's Corporation (NYSE:MCO)
MDLZ,0.002546,US6092071058,63.23,59.72,56.65,73.26,Food Processing,"Mondelez International, Inc. (NasdaqGS:MDLZ)"
MDT,0.005443,IE00BTN1Y115,65.48,65.0,58.79,78.1,Healthcare Products,Medtronic plc (NYSE:MDT)
MET,0.0018850000000000002,US59156R1086,61.17,55.62,63.78,65.42,Insurance (Life),"MetLife, Inc. (NYSE:MET)"
MGM,0.000558,US5529531015,55.16,62.02,51.25,54.31,Hotel/Gaming,MGM Resorts International (NYSE:MGM)
MHK,0.00044400000000000006,US6081901042,52.78,57.99,48.98,53.39,Furn/Home Furnishings,"Mohawk Industries, Inc. (NYSE:MHK)"
MKC,0.0006450000000000001,US5797802064,65.39,69.04,56.6,72.83,Food Processing,"McCormick & Company, Incorporated (NYSE:MKC)"
MLM,0.000466,US5732841060,51.75,60.45,49.32,48.43,Construction Supplies,"Martin Marietta Materials, Inc. (NYSE:MLM)"
MMC,0.001714,US5717481023,63.72,62.0,67.15,62.25,Insurance (General),"Marsh & McLennan Companies, Inc. (NYSE:MMC)"
MMM,0.0050420000000000005,US88579Y1010,65.84,71.75,69.51,58.92,Diversified,3M Company (NYSE:MMM)
MNST,0.000924,US61174X1090,41.41,47.41,36.87,42.33,Beverage (Soft),Monster Beverage Corporation (NasdaqGS:MNST)
MO,0.004601,US02209S1033,60.75,71.08,53.15,62.07,Tobacco,"Altria Group, Inc. (NYSE:MO)"
MOS,0.00046399999999999995,US61945C1036,58.89,68.75,60.93,50.95,Chemical (Specialty),The Mosaic Company (NYSE:MOS)
MPC,0.001506,US56585A1025,60.28,66.85,61.45,54.25,Oilfield Svcs/Equip.,Marathon Petroleum Corporation (NYSE:MPC)
MRK,0.007706,US58933Y1055,67.47,66.37,66.57,70.41,Drugs (Pharmaceutical),"Merck & Co., Inc. (NYSE:MRK)"
MRO,0.00082,US5658491064,60.88,61.8,60.15,61.06,Oil/Gas (Production and Exploration),Marathon Oil Corporation (NYSE:MRO)
MS,0.0025039999999999997,US6174464486,61.87,49.99,59.58,79.33,Brokerage & Investment Banking,Morgan Stanley (NYSE:MS)
MSCI,0.0006580000000000001,US55354G1004,60.89,63.95,74.27,42.74,Financial Svcs. (Non-bank & Insurance),MSCI Inc. (NYSE:MSCI)
MSFT,0.035914,US5949181045,73.92,71.35,70.74,80.83,Software (System & Application),Microsoft Corporation (NasdaqGS:MSFT)
MSI,0.000837,US6200763075,73.24,63.49,70.25,81.94,Telecom. Equipment,"Motorola Solutions, Inc. (NYSE:MSI)"
MTB,0.000964,US55261F1049,48.09,48.17,59.63,35.67,Banks (Regional),M&T Bank Corporation (NYSE:MTB)
MTD,0.00064,US5926881054,65.0,71.06,51.97,81.17,Heathcare Information and Technology,Mettler-Toledo International Inc. (NYSE:MTD)
MU,0.0021100000000000003,US5951121038,62.76,65.19,67.54,57.07,Semiconductor,"Micron Technology, Inc. (NasdaqGS:MU)"
MYL,0.000754,NL0011031208,52.73,49.22,46.8,67.64,Drugs (Pharmaceutical),Mylan N.V. (NasdaqGS:MYL)
NBL,0.000617,US6550441058,66.03,64.6,74.64,57.22,Oil/Gas (Production and Exploration),"Noble Energy, Inc. (NasdaqGS:NBL)"
NCLH,0.000469,BMG667211046,50.51,63.32,51.16,41.93,Hotel/Gaming,Norwegian Cruise Line Holdings Ltd. (NYSE:NCLH)
NDAQ,0.00040599999999999995,US6311031081,48.98,49.01,53.52,44.1,Financial Svcs. (Non-bank & Insurance),"Nasdaq, Inc. (NasdaqGS:NDAQ)"
NEE,0.0031899999999999997,US65339F1012,66.92,69.62,78.94,57.41,Power,"NextEra Energy, Inc. (NYSE:NEE)"
