,lambda,returns
0,0.0,0.009969710934630525
1,0.001,0.00993531721310489
2,0.002,0.00990092349157925
3,0.003,0.009866529770053622
4,0.004,0.009832136048527984
5,0.005,0.009797742327002347
6,0.006,0.009763348605476707
7,0.007,0.009728954883951072
8,0.008,0.009694561162425432
9,0.009000000000000001,0.009660167440899783
10,0.01,0.009625773719374146
11,0.011,0.009591379997848506
12,0.012,0.009556986276322876
13,0.013000000000000001,0.009522592554797236
14,0.014,0.009488198833271604
15,0.015,0.009453805111745957
16,0.016,0.009419411390220327
17,0.017,0.009385017668694692
18,0.018000000000000002,0.00935062394716905
19,0.019,0.009316230225643414
20,0.02,0.009281836504117768
21,0.021,0.009247442782592126
22,0.022,0.009213049061066491
23,0.023,0.009178655339540848
24,0.024,0.00914426161801521
25,0.025,0.00910986789648957
26,0.026000000000000002,0.009075474174963946
27,0.027,0.009041080453438308
28,0.028,0.009006686731912659
29,0.029,0.008972293010387017
30,0.03,0.00893789928886138
31,0.031,0.008903505567335749
32,0.032,0.008869111845810103
33,0.033,0.008834718124284466
34,0.034,0.008800324402758818
35,0.035,0.008765930681233188
36,0.036000000000000004,0.008731536959707558
37,0.037,0.008697143238181913
38,0.038,0.00866274951665628
39,0.039,0.008628355795130625
40,0.04,0.00859396207360499
41,0.041,0.008559568352079364
42,0.042,0.008525174630553717
43,0.043000000000000003,0.008490780909028077
44,0.044,0.008456387187502436
45,0.045,0.008421993465976801
46,0.046,0.008387599744451166
47,0.047,0.00835320602292553
48,0.048,0.008318812301399883
49,0.049,0.00828441857987424
50,0.05,0.008250024858348613
51,0.051000000000000004,0.008215631136822974
52,0.052000000000000005,0.008181237415297336
53,0.053,0.008146843693771697
54,0.054,0.008112449972246055
55,0.055,0.008078056250720413
56,0.056,0.008043662529194773
57,0.057,0.00800926880766914
58,0.058,0.007974875086143496
59,0.059000000000000004,0.007940481364617863
60,0.06,0.007906087643092224
61,0.061,0.007871693921566584
62,0.062,0.007837300200040954
63,0.063,0.007802906478515309
64,0.064,0.0077685127569896715
65,0.065,0.007734119035464031
66,0.066,0.0076997253139383885
67,0.067,0.007665331592412747
68,0.068,0.007630937870887111
69,0.069,0.00759654414936147
70,0.07,0.00756215042783583
71,0.07100000000000001,0.0075277567063101935
72,0.07200000000000001,0.007493362984784559
73,0.073,0.007458969263258921
74,0.074,0.007424575541733288
75,0.075,0.007390181820207638
76,0.076,0.007355788098682013
77,0.077,0.007321394377156367
78,0.078,0.0072870006556307225
79,0.079,0.00725260693410509
80,0.08,0.007218213212579449
81,0.081,0.007183819491053816
82,0.082,0.007149425769528176
83,0.083,0.00711503204800254
84,0.084,0.007080638326476906
85,0.085,0.007046244604951265
86,0.08600000000000001,0.007011850883425629
87,0.08700000000000001,0.006977457161899991
88,0.088,0.006943063440374337
89,0.089,0.006908669718848714
90,0.09,0.006874275997323067
91,0.091,0.006839882275797427
92,0.092,0.0068054885542718005
93,0.093,0.00677109483274615
94,0.094,0.006736701111220515
95,0.095,0.006702307389694886
96,0.096,0.006667913668169233
97,0.097,0.006633519946643596
98,0.098,0.006599126225117965
99,0.099,0.0065647325035923226
100,0.1,0.006530338782066681
101,0.101,0.00649594506054104
102,0.10200000000000001,0.006461551339015408
103,0.10300000000000001,0.006427157617489765
104,0.10400000000000001,0.0063927638959641354
105,0.105,0.006358370174438493
106,0.106,0.00632397645291285
107,0.107,0.006289582731387212
108,0.108,0.006255189009861578
109,0.109,0.006220795288335937
110,0.11,0.006186401566810289
111,0.111,0.0061520078452846575
112,0.112,0.006117614123759018
113,0.113,0.0060832204022333745
114,0.114,0.006048826680707748
115,0.115,0.006014432959182096
116,0.116,0.00598003923765647
117,0.117,0.005945645516130827
118,0.11800000000000001,0.00591125179460519
119,0.11900000000000001,0.005876858073079546
120,0.12,0.005842464351553911
121,0.121,0.005808070630028278
122,0.122,0.005773676908502631
123,0.123,0.005739283186976999
124,0.124,0.005704889465451356
125,0.125,0.0056704957439257155
126,0.126,0.005636102022400074
127,0.127,0.005601708300874444
128,0.128,0.005567314579348802
129,0.129,0.005532920857823167
130,0.13,0.005498527136297527
131,0.131,0.005464133414771888
132,0.132,0.0054297396932462515
133,0.133,0.005395345971720611
134,0.134,0.005360952250194968
135,0.135,0.005326558528669333
136,0.136,0.0052921648071436855
137,0.137,0.005257771085618042
138,0.138,0.005223377364092413
139,0.139,0.005188983642566784
140,0.14,0.0051545899210411455
141,0.14100000000000001,0.005120196199515504
142,0.14200000000000002,0.005085802477989862
143,0.14300000000000002,0.005051408756464225
144,0.14400000000000002,0.0050170150349385855
145,0.145,0.004982621313412946
146,0.146,0.004948227591887305
147,0.147,0.004913833870361664
148,0.148,0.004879440148836039
149,0.149,0.004845046427310396
150,0.15,0.004810652705784754
151,0.151,0.004776258984259119
152,0.152,0.004741865262733484
153,0.153,0.0047074715412078385
154,0.154,0.004673077819682203
155,0.155,0.0046386840981565486
156,0.156,0.004604290376630911
157,0.157,0.004569896655105276
158,0.158,0.00453550293357964
159,0.159,0.004501109212054008
160,0.16,0.004466715490528369
161,0.161,0.004432321769002728
162,0.162,0.004397928047477099
163,0.163,0.004363534325951451
164,0.164,0.004329140604425819
165,0.165,0.004294746882900177
166,0.166,0.004260353161374536
167,0.167,0.004225959439848896
168,0.168,0.0041915657183232615
169,0.169,0.004157171996797622
170,0.17,0.004122778275271981
171,0.171,0.004088384553746356
172,0.17200000000000001,0.004053990832220711
173,0.17300000000000001,0.0040195971106950674
174,0.17400000000000002,0.0039852033891694325
175,0.17500000000000002,0.003950809667643797
176,0.176,0.003916415946118157
177,0.177,0.003882022224592516
178,0.178,0.003847628503066876
179,0.179,0.0038132347815412384
180,0.18,0.003778841060015594
181,0.181,0.0037444473384899597
182,0.182,0.0037100536169643187
183,0.183,0.003675659895438681
184,0.184,0.003641266173913046
185,0.185,0.0036068724523874033
186,0.186,0.003572478730861763
187,0.187,0.003538085009336128
188,0.188,0.003503691287810488
189,0.189,0.003469297566284852
190,0.19,0.003434903844759212
191,0.191,0.0034005101232335725
192,0.192,0.0033661164017079357
193,0.193,0.0033317226801822955
194,0.194,0.0032973289586566597
195,0.195,0.003262935237131021
196,0.196,0.0032285415156053775
197,0.197,0.0031941477940797417
198,0.198,0.0031597540725541093
199,0.199,0.003125360351028471
200,0.2,0.0030909666295028315
201,0.201,0.003056572907977181
202,0.202,0.003022179186451552
203,0.203,0.0029877854649259057
204,0.20400000000000001,0.002953391743400268
205,0.20500000000000002,0.0029189980218746322
206,0.20600000000000002,0.0028846043003489946
207,0.20700000000000002,0.0028502105788233605
208,0.20800000000000002,0.0028158168572977264
209,0.209,0.0027814231357720792
210,0.21,0.0027470294142464356
211,0.211,0.002712635692720805
212,0.212,0.0026782419711951612
213,0.213,0.0026438482496695245
214,0.214,0.0026094545281438886
215,0.215,0.0025750608066182406
216,0.216,0.002540667085092609
217,0.217,0.002506273363566969
218,0.218,0.002471879642041339
219,0.219,0.0024374859205156954
220,0.22,0.0024030921989900535
221,0.221,0.0023686984774644254
222,0.222,0.0023343047559387757
223,0.223,0.0022999110344131364
224,0.224,0.0022655173128875022
225,0.225,0.0022311235913618594
226,0.226,0.0021967298698362158
227,0.227,0.0021623361483105894
228,0.228,0.002127942426784945
229,0.229,0.002093548705259311
230,0.23,0.002059154983733674
231,0.231,0.002024761262208026
232,0.232,0.0019903675406823945
233,0.233,0.001955973819156757
234,0.234,0.0019215800976311124
235,0.23500000000000001,0.0018871863761054748
236,0.23600000000000002,0.0018527926545798398
237,0.23700000000000002,0.0018183989330542013
238,0.23800000000000002,0.0017840052115285637
239,0.23900000000000002,0.0017496114900029175
240,0.24,0.0017152177684772807
241,0.241,0.0016808240469516483
242,0.242,0.0016464303254260099
243,0.243,0.001612036603900368
244,0.244,0.0015776428823747312
245,0.245,0.0015432491608490858
246,0.246,0.0015088554393234543
247,0.247,0.0014744617177978132
248,0.248,0.0014400679962721773
249,0.249,0.0014056742747465328
250,0.25,0.0013712805532208987
251,0.251,0.0013368868316952645
252,0.252,0.0013024931101696235
253,0.253,0.0012680993886439815
254,0.254,0.0012337056671183457
255,0.255,0.001199311945592709
256,0.256,0.0011649182240670661
257,0.257,0.001130524502541432
258,0.258,0.0010961307810157918
259,0.259,0.0010617370594901499
260,0.26,0.0010273433379645158
261,0.261,0.0009929496164388695
262,0.262,0.0009585558949132423
263,0.263,0.000924162173387596
264,0.264,0.000889768451861955
265,0.265,0.0008553747303363226
266,0.266,0.0008209810088106789
267,0.267,0.00078658728728505
268,0.268,0.0007521935657594037
269,0.269,0.0007177998442337661
270,0.27,0.0006834061227081285
271,0.271,0.0006490124011824883
272,0.272,0.0006146186796568464
273,0.273,0.0005802249581312088
274,0.274,0.000545831236605572
275,0.275,0.000511437515079931
276,0.276,0.0004770437935542925
277,0.277,0.0004426500720286549
278,0.278,0.00040825635050301644
279,0.279,0.00037386262897737797
280,0.28,0.0003394689074517404
281,0.281,0.0003050751859261019
282,0.28200000000000003,0.00027068146440046344
283,0.28300000000000003,0.0002362877428748241
284,0.28400000000000003,0.00020189402134918565
285,0.28500000000000003,0.00016750029982354978
286,0.28600000000000003,0.00013310657829791305
287,0.28700000000000003,9.871285677226851e-05
288,0.28800000000000003,6.431913524663352e-05
289,0.289,2.9925413721001992e-05
290,0.29,-4.4683078046416774e-06
291,0.291,-3.886202933028188e-05
292,0.292,-7.325575085592555e-05
293,0.293,-0.00010764947238155968
294,0.294,-0.00014204319390719467
295,0.295,-0.0001764369154328366
296,0.296,-0.00021083063695847074
297,0.297,-0.00024522435848411094
298,0.298,-0.0002796180800097494
299,0.299,-0.00031401180153539047
300,0.3,-0.0003484055230610246
301,0.301,-0.0003827992445866674
302,0.302,-0.00041719296611230933
303,0.303,-0.00045158668763794086
304,0.304,-0.00048598040916358106
305,0.305,-0.0005203741306892204
306,0.306,-0.0005547678522148597
307,0.307,-0.0005891615737404999
308,0.308,-0.0006235552952661323
309,0.309,-0.0006579490167917786
310,0.31,-0.0006923427383174145
311,0.311,-0.0007267364598430538
312,0.312,-0.0007611301813686914
313,0.313,-0.0007955239028943316
314,0.314,-0.0008299176244199666
315,0.315,-0.0008643113459456016
316,0.316,-0.0008987050674712505
317,0.317,-0.0009330987889968872
318,0.318,-0.0009674925105225256
319,0.319,-0.001001886232048165
320,0.32,-0.0010362799535738052
321,0.321,-0.0010706736750994367
322,0.322,-0.001105067396625077
323,0.323,-0.0011394611181507136
324,0.324,-0.0011738548396763504
325,0.325,-0.0012082485612019906
326,0.326,-0.0012426422827276368
327,0.327,-0.0012770360042532675
328,0.328,-0.0013114297257789086
329,0.329,-0.0013458234473045462
330,0.33,-0.0013802171688301803
331,0.331,-0.00141461089035583
332,0.332,-0.0014490046118814616
333,0.333,-0.0014833983334071026
334,0.334,-0.0015177920549327394
335,0.335,-0.0015521857764583787
336,0.336,-0.0015865794979840146
337,0.337,-0.0016209732195096548
338,0.338,-0.0016553669410352993
339,0.339,-0.00168976066256093
340,0.34,-0.001724154384086577
341,0.341,-0.001758548105612212
342,0.342,-0.001792941827137848
343,0.343,-0.001827335548663489
344,0.34400000000000003,-0.0018617292701891284
345,0.34500000000000003,-0.0018961229917147668
346,0.34600000000000003,-0.0019305167132404096
347,0.34700000000000003,-0.0019649104347660437
348,0.34800000000000003,-0.001999304156291682
349,0.34900000000000003,-0.0020336978778173207
350,0.35000000000000003,-0.00206809159934296
351,0.35100000000000003,-0.0021024853208685976
352,0.352,-0.0021368790423942387
353,0.353,-0.00217127276391987
354,0.354,-0.0022056664854455165
355,0.355,-0.002240060206971154
356,0.356,-0.002274453928496789
357,0.357,-0.002308847650022425
358,0.358,-0.00234324137154806
359,0.359,-0.0023776350930737027
360,0.36,-0.002412028814599344
361,0.361,-0.0024464225361249823
362,0.362,-0.002480816257650613
363,0.363,-0.002515209979176259
364,0.364,-0.002549603700701897
365,0.365,-0.0025839974222275327
366,0.366,-0.0026183911437531703
367,0.367,-0.0026527848652788052
368,0.368,-0.002687178586804449
369,0.369,-0.00272157230833009
370,0.37,-0.0027559660298557224
371,0.371,-0.0027903597513813713
372,0.372,-0.0028247534729070036
373,0.373,-0.0028591471944326404
374,0.374,-0.002893540915958284
375,0.375,-0.0029279346374839208
376,0.376,-0.002962328359009561
377,0.377,-0.002996722080535201
378,0.378,-0.00303111580206083
379,0.379,-0.003065509523586478
380,0.38,-0.0030999032451121157
381,0.381,-0.00313429696663775
382,0.382,-0.003168690688163385
383,0.383,-0.0032030844096890285
384,0.384,-0.0032374781312146644
385,0.385,-0.003271871852740307
386,0.386,-0.0033062655742659465
387,0.387,-0.0033406592957915867
388,0.388,-0.0033750530173172243
389,0.389,-0.003409446738842862
390,0.39,-0.003443840460368504
391,0.391,-0.003478234181894143
392,0.392,-0.003512627903419772
393,0.393,-0.0035470216249454166
394,0.394,-0.0035814153464710508
395,0.395,-0.0036158090679966988
396,0.396,-0.0036502027895223286
397,0.397,-0.0036845965110479653
398,0.398,-0.003718990232573614
399,0.399,-0.003753383954099251
400,0.4,-0.003787777675624886
401,0.401,-0.0038221713971505287
402,0.402,-0.0038565651186761645
403,0.403,-0.0038909588402018013
404,0.404,-0.003925352561727442
405,0.405,-0.003959746283253073
406,0.406,-0.003994140004778712
407,0.40700000000000003,-0.004028533726304358
408,0.40800000000000003,-0.00406292744782999
409,0.40900000000000003,-0.004097321169355633
410,0.41000000000000003,-0.004131714890881273
411,0.41100000000000003,-0.004166108612406908
412,0.41200000000000003,-0.004200502333932547
413,0.41300000000000003,-0.004234896055458189
414,0.41400000000000003,-0.0042692897769838175
415,0.41500000000000004,-0.004303683498509464
416,0.41600000000000004,-0.004338077220035101
417,0.417,-0.004372470941560739
418,0.418,-0.00440686466308638
419,0.419,-0.004441258384612018
420,0.42,-0.004475652106137652
421,0.421,-0.004510045827663295
422,0.422,-0.004544439549188936
423,0.423,-0.004578833270714576
424,0.424,-0.0046132269922402125
425,0.425,-0.0046476207137658475
426,0.426,-0.0046820144352914895
427,0.427,-0.004716408156817122
428,0.428,-0.004750801878342768
429,0.429,-0.004785195599868404
430,0.43,-0.00481958932139404
431,0.431,-0.004853983042919675
432,0.432,-0.0048883767644453124
433,0.433,-0.004922770485970961
434,0.434,-0.004957164207496594
435,0.435,-0.0049915579290222304
436,0.436,-0.005025951650547869
437,0.437,-0.005060345372073511
438,0.438,-0.00509473909359915
439,0.439,-0.005129132815124784
440,0.44,-0.005163526536650428
441,0.441,-0.005197920258176062
442,0.442,-0.005232313979701705
443,0.443,-0.0052667077012273425
444,0.444,-0.005301101422752982
445,0.445,-0.005335495144278619
446,0.446,-0.005369888865804254
447,0.447,-0.0054042825873299016
448,0.448,-0.005438676308855534
449,0.449,-0.005473070030381178
450,0.45,-0.005507463751906809
451,0.451,-0.005541857473432451
452,0.452,-0.005576251194958093
453,0.453,-0.005610644916483725
454,0.454,-0.0056450386380093595
455,0.455,-0.005679432359535009
456,0.456,-0.0057138260810606495
457,0.457,-0.005748219802586283
458,0.458,-0.005782613524111921
459,0.459,-0.005817007245637558
460,0.46,-0.005851400967163197
461,0.461,-0.005885794688688836
462,0.462,-0.00592018841021448
463,0.463,-0.005954582131740117
464,0.464,-0.0059889758532657485
465,0.465,-0.0060233695747913905
466,0.466,-0.006057763296317032
467,0.467,-0.006092157017842673
468,0.468,-0.006126550739368309
469,0.46900000000000003,-0.006160944460893946
470,0.47000000000000003,-0.006195338182419576
471,0.47100000000000003,-0.006229731903945225
472,0.47200000000000003,-0.0062641256254708615
473,0.47300000000000003,-0.006298519346996496
474,0.47400000000000003,-0.006332913068522138
475,0.47500000000000003,-0.006367306790047773
476,0.47600000000000003,-0.006401700511573417
477,0.47700000000000004,-0.006436094233099054
478,0.47800000000000004,-0.006470487954624694
479,0.47900000000000004,-0.0065048816761503325
480,0.48,-0.006539275397675962
481,0.481,-0.006573669119201606
482,0.482,-0.006608062840727241
483,0.483,-0.006642456562252881
484,0.484,-0.006676850283778519
485,0.485,-0.006711244005304161
486,0.486,-0.006745637726829799
487,0.487,-0.0067800314483554384
488,0.488,-0.006814425169881076
489,0.489,-0.006848818891406716
490,0.49,-0.006883212612932356
491,0.491,-0.006917606334457996
492,0.492,-0.006952000055983632
493,0.493,-0.006986393777509273
494,0.494,-0.007020787499034915
495,0.495,-0.007055181220560551
496,0.496,-0.007089574942086185
497,0.497,-0.00712396866361182
498,0.498,-0.007158362385137464
499,0.499,-0.0071927561066631
